id,Match,Team,OddWin,Date
01/11/2021Indiana Pacers - San Antonio Spurs,Indiana Pacers - San Antonio Spurs,San Antonio Spurs,2.31,01/11/2021
01/11/2021LA Clippers - Oklahoma City Thunder,LA Clippers - Oklahoma City Thunder,Oklahoma City Thunder,5.85,01/11/2021
01/11/2021LA Clippers - Oklahoma City Thunder,LA Clippers - Oklahoma City Thunder,LA Clippers,1.13,01/11/2021
01/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Brooklyn Nets,1.92,01/11/2021
01/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers,1.82,01/11/2021
01/11/2021Memphis Grizzlies - Denver Nuggets,Memphis Grizzlies - Denver Nuggets,Denver Nuggets,2.01,01/11/2021
01/11/2021Memphis Grizzlies - Denver Nuggets,Memphis Grizzlies - Denver Nuggets,Memphis Grizzlies,1.78,01/11/2021
01/11/2021Milwaukee Bucks - Boston Celtics,Milwaukee Bucks - Boston Celtics,Milwaukee Bucks,1.31,01/11/2021
01/11/2021Milwaukee Bucks - Boston Celtics,Milwaukee Bucks - Boston Celtics,Boston Celtics,3.25,01/11/2021
01/11/2021Minnesota Timberwolves - Orlando Magic,Minnesota Timberwolves - Orlando Magic,Minnesota Timberwolves,1.19,01/11/2021
01/11/2021Minnesota Timberwolves - Orlando Magic,Minnesota Timberwolves - Orlando Magic,Orlando Magic,4.55,01/11/2021
01/11/2021New York Knicks - Atlanta Hawks,New York Knicks - Atlanta Hawks,New York Knicks,1.81,01/11/2021
01/11/2021New York Knicks - Atlanta Hawks,New York Knicks - Atlanta Hawks,Atlanta Hawks,1.93,01/11/2021
01/11/2021New York Knicks - Toronto Raptors,New York Knicks - Toronto Raptors,Toronto Raptors,3.0,01/11/2021
01/11/2021New York Knicks - Toronto Raptors,New York Knicks - Toronto Raptors,New York Knicks,1.37,01/11/2021
01/11/2021Philadelphia 76ers - Portland Trail Blazers,Philadelphia 76ers - Portland Trail Blazers,Portland Trail Blazers,3.0,01/11/2021
01/11/2021Philadelphia 76ers - Portland Trail Blazers,Philadelphia 76ers - Portland Trail Blazers,Philadelphia 76ers,1.38,01/11/2021
01/11/2021Phoenix Suns - Golden State Warriors,Phoenix Suns - Golden State Warriors,Phoenix Suns,1.57,01/11/2021
01/11/2021Phoenix Suns - Golden State Warriors,Phoenix Suns - Golden State Warriors,Golden State Warriors,2.32,01/11/2021
01/11/2021Utah Jazz - Dallas Mavericks,Utah Jazz - Dallas Mavericks,Utah Jazz,1.44,01/11/2021
01/11/2021Utah Jazz - Dallas Mavericks,Utah Jazz - Dallas Mavericks,Dallas Mavericks,2.65,01/11/2021
02/11/2021Dallas Mavericks - Miami Heat,Dallas Mavericks - Miami Heat,Dallas Mavericks,1.98,02/11/2021
02/11/2021Dallas Mavericks - Miami Heat,Dallas Mavericks - Miami Heat,Miami Heat,1.8,02/11/2021
02/11/2021Detroit Pistons - Milwaukee Bucks,Detroit Pistons - Milwaukee Bucks,Detroit Pistons,2.58,02/11/2021
02/11/2021Detroit Pistons - Milwaukee Bucks,Detroit Pistons - Milwaukee Bucks,Milwaukee Bucks,1.49,02/11/2021
02/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Brooklyn Nets,1.92,02/11/2021
02/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers,1.82,02/11/2021
02/11/2021Los Angeles Lakers - Houston Rockets,Los Angeles Lakers - Houston Rockets,Houston Rockets,5.65,02/11/2021
02/11/2021Los Angeles Lakers - Houston Rockets,Los Angeles Lakers - Houston Rockets,Los Angeles Lakers,1.14,02/11/2021
02/11/2021New York Knicks - Atlanta Hawks,New York Knicks - Atlanta Hawks,New York Knicks,1.81,02/11/2021
02/11/2021New York Knicks - Atlanta Hawks,New York Knicks - Atlanta Hawks,Atlanta Hawks,1.93,02/11/2021
02/11/2021Phoenix Suns - Golden State Warriors,Phoenix Suns - Golden State Warriors,Phoenix Suns,1.57,02/11/2021
02/11/2021Phoenix Suns - Golden State Warriors,Phoenix Suns - Golden State Warriors,Golden State Warriors,2.32,02/11/2021
02/11/2021Phoenix Suns - New Orleans Pelicans,Phoenix Suns - New Orleans Pelicans,Phoenix Suns,1.11,02/11/2021
02/11/2021Phoenix Suns - New Orleans Pelicans,Phoenix Suns - New Orleans Pelicans,New Orleans Pelicans,6.4,02/11/2021
02/11/2021Utah Jazz - Dallas Mavericks,Utah Jazz - Dallas Mavericks,Utah Jazz,1.44,02/11/2021
02/11/2021Utah Jazz - Dallas Mavericks,Utah Jazz - Dallas Mavericks,Dallas Mavericks,2.65,02/11/2021
02/11/2021Utah Jazz - Sacramento,Utah Jazz - Sacramento,Sacramento,4.4,02/11/2021
02/11/2021Utah Jazz - Sacramento,Utah Jazz - Sacramento,Utah Jazz,1.2,02/11/2021
02/11/2021Milwaukee Bucks - Boston Celtics,Milwaukee Bucks - Boston Celtics,Milwaukee Bucks,1.31,02/11/2021
02/11/2021Milwaukee Bucks - Boston Celtics,Milwaukee Bucks - Boston Celtics,Boston Celtics,3.25,02/11/2021
03/11/2021Brooklyn Nets - Atlanta Hawks,Brooklyn Nets - Atlanta Hawks,Brooklyn Nets,1.44,03/11/2021
03/11/2021Brooklyn Nets - Atlanta Hawks,Brooklyn Nets - Atlanta Hawks,Atlanta Hawks,2.75,03/11/2021
03/11/2021Cleveland Cavaliers - Portland Trail Blazers,Cleveland Cavaliers - Portland Trail Blazers,Cleveland Cavaliers,2.33,03/11/2021
03/11/2021Cleveland Cavaliers - Portland Trail Blazers,Cleveland Cavaliers - Portland Trail Blazers,Portland Trail Blazers,1.58,03/11/2021
03/11/2021Golden State Warriors - Charlotte Hornets,Golden State Warriors - Charlotte Hornets,Charlotte Hornets,3.0,03/11/2021
03/11/2021Golden State Warriors - Charlotte Hornets,Golden State Warriors - Charlotte Hornets,Golden State Warriors,1.38,03/11/2021
03/11/2021Indiana Pacers - New York Knicks,Indiana Pacers - New York Knicks,Indiana Pacers,1.83,03/11/2021
03/11/2021Indiana Pacers - New York Knicks,Indiana Pacers - New York Knicks,New York Knicks,1.95,03/11/2021
03/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Brooklyn Nets,1.92,03/11/2021
03/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers,1.82,03/11/2021
03/11/2021Memphis Grizzlies - Denver Nuggets,Memphis Grizzlies - Denver Nuggets,Memphis Grizzlies,1.82,03/11/2021
03/11/2021Memphis Grizzlies - Denver Nuggets,Memphis Grizzlies - Denver Nuggets,Denver Nuggets,1.96,03/11/2021
03/11/2021Milwaukee Bucks - Boston Celtics,Milwaukee Bucks - Boston Celtics,Boston Celtics,3.3,03/11/2021
03/11/2021Milwaukee Bucks - Boston Celtics,Milwaukee Bucks - Boston Celtics,Milwaukee Bucks,1.3,03/11/2021
03/11/2021Minnesota Timberwolves - LA Clippers,Minnesota Timberwolves - LA Clippers,LA Clippers,1.94,03/11/2021
03/11/2021Minnesota Timberwolves - LA Clippers,Minnesota Timberwolves - LA Clippers,Minnesota Timberwolves,1.84,03/11/2021
03/11/2021New York Knicks - Atlanta Hawks,New York Knicks - Atlanta Hawks,Atlanta Hawks,1.93,03/11/2021
03/11/2021New York Knicks - Atlanta Hawks,New York Knicks - Atlanta Hawks,New York Knicks,1.81,03/11/2021
03/11/2021Orlando Magic - Boston Celtics,Orlando Magic - Boston Celtics,Orlando Magic,3.15,03/11/2021
03/11/2021Orlando Magic - Boston Celtics,Orlando Magic - Boston Celtics,Boston Celtics,1.36,03/11/2021
03/11/2021Philadelphia 76ers - Chicago Bulls,Philadelphia 76ers - Chicago Bulls,Chicago Bulls,1.95,03/11/2021
03/11/2021Philadelphia 76ers - Chicago Bulls,Philadelphia 76ers - Chicago Bulls,Philadelphia 76ers,1.83,03/11/2021
03/11/2021Phoenix Suns - Golden State Warriors,Phoenix Suns - Golden State Warriors,Phoenix Suns,1.57,03/11/2021
03/11/2021Phoenix Suns - Golden State Warriors,Phoenix Suns - Golden State Warriors,Golden State Warriors,2.32,03/11/2021
03/11/2021Sacramento - New Orleans Pelicans,Sacramento - New Orleans Pelicans,Sacramento,1.42,03/11/2021
03/11/2021Sacramento - New Orleans Pelicans,Sacramento - New Orleans Pelicans,New Orleans Pelicans,2.82,03/11/2021
03/11/2021San Antonio Spurs - Dallas Mavericks,San Antonio Spurs - Dallas Mavericks,San Antonio Spurs,1.97,03/11/2021
03/11/2021San Antonio Spurs - Dallas Mavericks,San Antonio Spurs - Dallas Mavericks,Dallas Mavericks,1.81,03/11/2021
03/11/2021Utah Jazz - Dallas Mavericks,Utah Jazz - Dallas Mavericks,Utah Jazz,1.44,03/11/2021
03/11/2021Utah Jazz - Dallas Mavericks,Utah Jazz - Dallas Mavericks,Dallas Mavericks,2.65,03/11/2021
03/11/2021Washington Wizards - Toronto Raptors,Washington Wizards - Toronto Raptors,Toronto Raptors,2.31,03/11/2021
03/11/2021Washington Wizards - Toronto Raptors,Washington Wizards - Toronto Raptors,Washington Wizards,1.6,03/11/2021
04/11/2021Atlanta Hawks - Utah Jazz,Atlanta Hawks - Utah Jazz,Atlanta Hawks,1.91,04/11/2021
04/11/2021Atlanta Hawks - Utah Jazz,Atlanta Hawks - Utah Jazz,Utah Jazz,1.86,04/11/2021
04/11/2021Detroit Pistons - Philadelphia 76ers,Detroit Pistons - Philadelphia 76ers,Detroit Pistons,2.95,04/11/2021
04/11/2021Detroit Pistons - Philadelphia 76ers,Detroit Pistons - Philadelphia 76ers,Philadelphia 76ers,1.39,04/11/2021
04/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Brooklyn Nets,1.92,04/11/2021
04/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers,1.82,04/11/2021
04/11/2021Los Angeles Lakers - Oklahoma City Thunder,Los Angeles Lakers - Oklahoma City Thunder,Los Angeles Lakers,1.1,04/11/2021
04/11/2021Los Angeles Lakers - Oklahoma City Thunder,Los Angeles Lakers - Oklahoma City Thunder,Oklahoma City Thunder,6.65,04/11/2021
04/11/2021Miami Heat - Boston Celtics,Miami Heat - Boston Celtics,Boston Celtics,3.35,04/11/2021
04/11/2021Miami Heat - Boston Celtics,Miami Heat - Boston Celtics,Miami Heat,1.32,04/11/2021
04/11/2021Milwaukee Bucks - Boston Celtics,Milwaukee Bucks - Boston Celtics,Milwaukee Bucks,1.3,04/11/2021
04/11/2021Milwaukee Bucks - Boston Celtics,Milwaukee Bucks - Boston Celtics,Boston Celtics,3.3,04/11/2021
04/11/2021New York Knicks - Atlanta Hawks,New York Knicks - Atlanta Hawks,New York Knicks,1.81,04/11/2021
04/11/2021New York Knicks - Atlanta Hawks,New York Knicks - Atlanta Hawks,Atlanta Hawks,1.93,04/11/2021
04/11/2021Phoenix Suns - Golden State Warriors,Phoenix Suns - Golden State Warriors,Phoenix Suns,1.57,04/11/2021
04/11/2021Phoenix Suns - Golden State Warriors,Phoenix Suns - Golden State Warriors,Golden State Warriors,2.32,04/11/2021
04/11/2021Phoenix Suns - Houston Rockets,Phoenix Suns - Houston Rockets,Phoenix Suns,1.14,04/11/2021
04/11/2021Phoenix Suns - Houston Rockets,Phoenix Suns - Houston Rockets,Houston Rockets,5.55,04/11/2021
04/11/2021Utah Jazz - Dallas Mavericks,Utah Jazz - Dallas Mavericks,Utah Jazz,1.44,04/11/2021
04/11/2021Utah Jazz - Dallas Mavericks,Utah Jazz - Dallas Mavericks,Dallas Mavericks,2.65,04/11/2021
05/11/2021Detroit Pistons - Brooklyn Nets,Detroit Pistons - Brooklyn Nets,Detroit Pistons,5.25,05/11/2021
05/11/2021Detroit Pistons - Brooklyn Nets,Detroit Pistons - Brooklyn Nets,Brooklyn Nets,1.14,05/11/2021
05/11/2021Golden State Warriors - New Orleans Pelicans,Golden State Warriors - New Orleans Pelicans,Golden State Warriors,1.2,05/11/2021
05/11/2021Golden State Warriors - New Orleans Pelicans,Golden State Warriors - New Orleans Pelicans,New Orleans Pelicans,4.35,05/11/2021
05/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers,1.82,05/11/2021
05/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Brooklyn Nets,1.92,05/11/2021
05/11/2021Milwaukee Bucks - Boston Celtics,Milwaukee Bucks - Boston Celtics,Boston Celtics,3.25,05/11/2021
05/11/2021Milwaukee Bucks - Boston Celtics,Milwaukee Bucks - Boston Celtics,Milwaukee Bucks,1.31,05/11/2021
05/11/2021Milwaukee Bucks - New York Knicks,Milwaukee Bucks - New York Knicks,Milwaukee Bucks,1.49,05/11/2021
05/11/2021Milwaukee Bucks - New York Knicks,Milwaukee Bucks - New York Knicks,New York Knicks,2.58,05/11/2021
05/11/2021Minnesota Timberwolves - LA Clippers,Minnesota Timberwolves - LA Clippers,Minnesota Timberwolves,2.17,05/11/2021
05/11/2021Minnesota Timberwolves - LA Clippers,Minnesota Timberwolves - LA Clippers,LA Clippers,1.67,05/11/2021
05/11/2021New York Knicks - Atlanta Hawks,New York Knicks - Atlanta Hawks,Atlanta Hawks,1.93,05/11/2021
05/11/2021New York Knicks - Atlanta Hawks,New York Knicks - Atlanta Hawks,New York Knicks,1.81,05/11/2021
05/11/2021Orlando Magic - San Antonio Spurs,Orlando Magic - San Antonio Spurs,Orlando Magic,2.36,05/11/2021
05/11/2021Orlando Magic - San Antonio Spurs,Orlando Magic - San Antonio Spurs,San Antonio Spurs,1.57,05/11/2021
05/11/2021Phoenix Suns - Golden State Warriors,Phoenix Suns - Golden State Warriors,Golden State Warriors,2.32,05/11/2021
05/11/2021Phoenix Suns - Golden State Warriors,Phoenix Suns - Golden State Warriors,Phoenix Suns,1.57,05/11/2021
05/11/2021Portland Trail Blazers - Indiana Pacers,Portland Trail Blazers - Indiana Pacers,Portland Trail Blazers,1.59,05/11/2021
05/11/2021Portland Trail Blazers - Indiana Pacers,Portland Trail Blazers - Indiana Pacers,Indiana Pacers,2.32,05/11/2021
05/11/2021Sacramento - Charlotte Hornets,Sacramento - Charlotte Hornets,Charlotte Hornets,1.99,05/11/2021
05/11/2021Sacramento - Charlotte Hornets,Sacramento - Charlotte Hornets,Sacramento,1.79,05/11/2021
05/11/2021Toronto Raptors - Cleveland Cavaliers,Toronto Raptors - Cleveland Cavaliers,Cleveland Cavaliers,2.85,05/11/2021
05/11/2021Toronto Raptors - Cleveland Cavaliers,Toronto Raptors - Cleveland Cavaliers,Toronto Raptors,1.41,05/11/2021
05/11/2021Utah Jazz - Dallas Mavericks,Utah Jazz - Dallas Mavericks,Dallas Mavericks,2.65,05/11/2021
05/11/2021Utah Jazz - Dallas Mavericks,Utah Jazz - Dallas Mavericks,Utah Jazz,1.44,05/11/2021
05/11/2021Washington Wizards - Memphis Grizzlies,Washington Wizards - Memphis Grizzlies,Memphis Grizzlies,1.9,05/11/2021
05/11/2021Washington Wizards - Memphis Grizzlies,Washington Wizards - Memphis Grizzlies,Washington Wizards,1.88,05/11/2021
06/11/2021Chicago Bulls - Philadelphia 76ers,Chicago Bulls - Philadelphia 76ers,Chicago Bulls,1.59,06/11/2021
06/11/2021Chicago Bulls - Philadelphia 76ers,Chicago Bulls - Philadelphia 76ers,Philadelphia 76ers,2.38,06/11/2021
06/11/2021Dallas Mavericks - Boston Celtics,Dallas Mavericks - Boston Celtics,Dallas Mavericks,1.48,06/11/2021
06/11/2021Dallas Mavericks - Boston Celtics,Dallas Mavericks - Boston Celtics,Boston Celtics,2.6,06/11/2021
06/11/2021Denver Nuggets - Houston Rockets,Denver Nuggets - Houston Rockets,Denver Nuggets,1.15,06/11/2021
06/11/2021Denver Nuggets - Houston Rockets,Denver Nuggets - Houston Rockets,Houston Rockets,5.15,06/11/2021
06/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Brooklyn Nets,1.92,06/11/2021
06/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers,1.82,06/11/2021
06/11/2021Miami Heat - Utah Jazz,Miami Heat - Utah Jazz,Miami Heat,1.68,06/11/2021
06/11/2021Miami Heat - Utah Jazz,Miami Heat - Utah Jazz,Utah Jazz,2.2,06/11/2021
06/11/2021Milwaukee Bucks - Boston Celtics,Milwaukee Bucks - Boston Celtics,Boston Celtics,3.25,06/11/2021
06/11/2021Milwaukee Bucks - Boston Celtics,Milwaukee Bucks - Boston Celtics,Milwaukee Bucks,1.31,06/11/2021
06/11/2021New York Knicks - Atlanta Hawks,New York Knicks - Atlanta Hawks,New York Knicks,1.81,06/11/2021
06/11/2021New York Knicks - Atlanta Hawks,New York Knicks - Atlanta Hawks,Atlanta Hawks,1.93,06/11/2021
06/11/2021Phoenix Suns - Atlanta Hawks,Phoenix Suns - Atlanta Hawks,Phoenix Suns,1.48,06/11/2021
06/11/2021Phoenix Suns - Atlanta Hawks,Phoenix Suns - Atlanta Hawks,Atlanta Hawks,2.6,06/11/2021
06/11/2021Phoenix Suns - Golden State Warriors,Phoenix Suns - Golden State Warriors,Phoenix Suns,1.57,06/11/2021
06/11/2021Phoenix Suns - Golden State Warriors,Phoenix Suns - Golden State Warriors,Golden State Warriors,2.32,06/11/2021
06/11/2021Portland Trail Blazers - Los Angeles Lakers,Portland Trail Blazers - Los Angeles Lakers,Portland Trail Blazers,1.57,06/11/2021
06/11/2021Portland Trail Blazers - Los Angeles Lakers,Portland Trail Blazers - Los Angeles Lakers,Los Angeles Lakers,2.36,06/11/2021
06/11/2021Utah Jazz - Dallas Mavericks,Utah Jazz - Dallas Mavericks,Utah Jazz,1.44,06/11/2021
06/11/2021Utah Jazz - Dallas Mavericks,Utah Jazz - Dallas Mavericks,Dallas Mavericks,2.65,06/11/2021
07/11/2021Golden State Warriors - Houston Rockets,Golden State Warriors - Houston Rockets,Golden State Warriors,1.09,07/11/2021
07/11/2021Golden State Warriors - Houston Rockets,Golden State Warriors - Houston Rockets,Houston Rockets,6.85,07/11/2021
07/11/2021LA Clippers - Charlotte Hornets,LA Clippers - Charlotte Hornets,Charlotte Hornets,2.65,07/11/2021
07/11/2021LA Clippers - Charlotte Hornets,LA Clippers - Charlotte Hornets,LA Clippers,1.47,07/11/2021
07/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Brooklyn Nets,1.92,07/11/2021
07/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers,1.82,07/11/2021
07/11/2021Milwaukee Bucks - Boston Celtics,Milwaukee Bucks - Boston Celtics,Milwaukee Bucks,1.31,07/11/2021
07/11/2021Milwaukee Bucks - Boston Celtics,Milwaukee Bucks - Boston Celtics,Boston Celtics,3.25,07/11/2021
07/11/2021New York Knicks - Atlanta Hawks,New York Knicks - Atlanta Hawks,New York Knicks,1.81,07/11/2021
07/11/2021New York Knicks - Atlanta Hawks,New York Knicks - Atlanta Hawks,Atlanta Hawks,1.93,07/11/2021
07/11/2021New York Knicks - Cleveland Cavaliers,New York Knicks - Cleveland Cavaliers,Cleveland Cavaliers,3.55,07/11/2021
07/11/2021New York Knicks - Cleveland Cavaliers,New York Knicks - Cleveland Cavaliers,New York Knicks,1.28,07/11/2021
07/11/2021Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder,2.38,07/11/2021
07/11/2021Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,San Antonio Spurs,1.56,07/11/2021
07/11/2021Orlando Magic - Utah Jazz,Orlando Magic - Utah Jazz,Utah Jazz,1.16,07/11/2021
07/11/2021Orlando Magic - Utah Jazz,Orlando Magic - Utah Jazz,Orlando Magic,5.1,07/11/2021
07/11/2021Phoenix Suns - Golden State Warriors,Phoenix Suns - Golden State Warriors,Phoenix Suns,1.57,07/11/2021
07/11/2021Phoenix Suns - Golden State Warriors,Phoenix Suns - Golden State Warriors,Golden State Warriors,2.32,07/11/2021
07/11/2021Sacramento - Indiana Pacers,Sacramento - Indiana Pacers,Sacramento,1.79,07/11/2021
07/11/2021Sacramento - Indiana Pacers,Sacramento - Indiana Pacers,Indiana Pacers,2.0,07/11/2021
07/11/2021Toronto Raptors - Brooklyn Nets,Toronto Raptors - Brooklyn Nets,Toronto Raptors,2.23,07/11/2021
07/11/2021Toronto Raptors - Brooklyn Nets,Toronto Raptors - Brooklyn Nets,Brooklyn Nets,1.64,07/11/2021
07/11/2021Utah Jazz - Dallas Mavericks,Utah Jazz - Dallas Mavericks,Utah Jazz,1.44,07/11/2021
07/11/2021Utah Jazz - Dallas Mavericks,Utah Jazz - Dallas Mavericks,Dallas Mavericks,2.65,07/11/2021
07/11/2021Washington Wizards - Milwaukee Bucks,Washington Wizards - Milwaukee Bucks,Milwaukee Bucks,1.65,07/11/2021
07/11/2021Washington Wizards - Milwaukee Bucks,Washington Wizards - Milwaukee Bucks,Washington Wizards,2.21,07/11/2021
08/11/2021Chicago Bulls - Brooklyn Nets,Chicago Bulls - Brooklyn Nets,Chicago Bulls,1.78,08/11/2021
08/11/2021Chicago Bulls - Brooklyn Nets,Chicago Bulls - Brooklyn Nets,Brooklyn Nets,2.0,08/11/2021
08/11/2021Dallas Mavericks - New Orleans Pelicans,Dallas Mavericks - New Orleans Pelicans,New Orleans Pelicans,4.7,08/11/2021
08/11/2021Dallas Mavericks - New Orleans Pelicans,Dallas Mavericks - New Orleans Pelicans,Dallas Mavericks,1.18,08/11/2021
08/11/2021Denver Nuggets - Miami Heat,Denver Nuggets - Miami Heat,Denver Nuggets,2.13,08/11/2021
08/11/2021Denver Nuggets - Miami Heat,Denver Nuggets - Miami Heat,Miami Heat,1.7,08/11/2021
08/11/2021Golden State Warriors - Atlanta Hawks,Golden State Warriors - Atlanta Hawks,Atlanta Hawks,2.23,08/11/2021
08/11/2021Golden State Warriors - Atlanta Hawks,Golden State Warriors - Atlanta Hawks,Golden State Warriors,1.63,08/11/2021
08/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Brooklyn Nets,1.94,08/11/2021
08/11/2021Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers - Brooklyn Nets,Los Angeles Lakers,1.8,08/11/2021
08/11/2021Los Angeles Lakers - Charlotte Hornets,Los Angeles Lakers - Charlotte Hornets,Los Angeles Lakers,1.69,08/11/2021
08/11/2021Los Angeles Lakers - Charlotte Hornets,Los Angeles Lakers - Charlotte Hornets,Charlotte Hornets,2.14,08/11/2021
08/11/2021Memphis Grizzlies - Minnesota Timberwolves,Memphis Grizzlies - Minnesota Timberwolves,Memphis Grizzlies,1.41,08/11/2021
08/11/2021Memphis Grizzlies - Minnesota Timberwolves,Memphis Grizzlies - Minnesota Timberwolves,Minnesota Timberwolves,2.88,08/11/2021
