URL,Name,FullName,Team,POS,AGE,HT,WT,COLLEGE,SALARY
https://www.espn.com/nba/player/_/id/4431712/james-bouknight,James Bouknight5,jamesbouknight,CharlotteHornets,SG,21,"6' 4""",190 lbs,Connecticut,"$4,154,400"
https://www.espn.com/nba/player/_/id/4066383/miles-bridges,Miles Bridges0,milesbridges,CharlotteHornets,SF,23,"6' 7""",225 lbs,Michigan State,"$5,421,493"
https://www.espn.com/nba/player/_/id/4431669/vernon-carey-jr,Vernon Carey Jr.22,vernoncareyjr,CharlotteHornets,C,20,"6' 9""",270 lbs,Duke,"$1,517,981"
https://www.espn.com/nba/player/_/id/4249/gordon-hayward,Gordon Hayward20,gordonhayward,CharlotteHornets,SF,31,"6' 7""",225 lbs,Butler,"$29,925,000"
https://www.espn.com/nba/player/_/id/4431699/kai-jones,Kai Jones23,kaijones,CharlotteHornets,PF,20,"6' 10""",221 lbs,Texas,"$2,770,560"
https://www.espn.com/nba/player/_/id/4230551/arnoldas-kulboka,Arnoldas Kulboka98,arnoldaskulboka,CharlotteHornets,PF,23,"6' 10""",209 lbs,--,--
https://www.espn.com/nba/player/_/id/4432812/scottie-lewis,Scottie Lewis16,scottielewis,CharlotteHornets,SG,21,"6' 5""",185 lbs,Florida,--
https://www.espn.com/nba/player/_/id/3138161/cody-martin,Cody Martin11,codymartin,CharlotteHornets,SF,26,"6' 6""",205 lbs,Nevada,"$1,782,621"
https://www.espn.com/nba/player/_/id/4066731/jalen-mcdaniels,Jalen McDaniels6,jalenmcdaniels,CharlotteHornets,PF,23,"6' 9""",205 lbs,San Diego State,"$1,782,621"
https://www.espn.com/nba/player/_/id/3133603/kelly-oubre-jr,Kelly Oubre Jr.12,kellyoubrejr,CharlotteHornets,SG,25,"6' 6""",203 lbs,Kansas,"$12,000,000"
https://www.espn.com/nba/player/_/id/2488653/mason-plumlee,Mason Plumlee24,masonplumlee,CharlotteHornets,C,31,"6' 11""",254 lbs,Duke,"$9,248,333"
https://www.espn.com/nba/player/_/id/4278076/nick-richards,Nick Richards14,nickrichards,CharlotteHornets,C,23,"7' 0""",245 lbs,Kentucky,"$1,517,981"
https://www.espn.com/nba/player/_/id/3074752/terry-rozier,Terry Rozier3,terryrozier,CharlotteHornets,SG,27,"6' 1""",190 lbs,Louisville,"$17,905,263"
https://www.espn.com/nba/player/_/id/4305/ish-smith,Ish Smith10,ishsmith,CharlotteHornets,PG,33,"6' 0""",175 lbs,Wake Forest,"$4,500,000"
https://www.espn.com/nba/player/_/id/4702233/jt-thor,JT Thor21,jtthor,CharlotteHornets,PF,19,"6' 9""",203 lbs,Auburn,"$1,250,000"
https://www.espn.com/nba/player/_/id/4278078/pj-washington,P.J. Washington25,pjwashington,CharlotteHornets,PF,23,"6' 7""",230 lbs,Kentucky,"$4,215,120"
https://www.espn.com/nba/player/_/id/4066261/bam-adebayo,Bam Adebayo13,bamadebayo,MiamiHeat,C,24,"6' 9""",255 lbs,Kentucky,"$28,103,500"
https://www.espn.com/nba/player/_/id/6430/jimmy-butler,Jimmy Butler22,jimmybutler,MiamiHeat,SF,32,"6' 7""",230 lbs,Marquette,"$36,016,200"
https://www.espn.com/nba/player/_/id/2580913/dewayne-dedmon,Dewayne Dedmon21,dewaynededmon,MiamiHeat,C,32,"7' 0""",245 lbs,USC,"$1,669,178"
https://www.espn.com/nba/player/_/id/4277892/marcus-garrett,Marcus Garrett0,marcusgarrett,MiamiHeat,SG,23,"6' 5""",205 lbs,Kansas,--
https://www.espn.com/nba/player/_/id/2184/udonis-haslem,Udonis Haslem40,udonishaslem,MiamiHeat,PF,41,"6' 8""",235 lbs,Florida,"$1,669,178"
https://www.espn.com/nba/player/_/id/4395725/tyler-herro,Tyler Herro14,tylerherro,MiamiHeat,PG,21,"6' 5""",195 lbs,Kentucky,"$4,004,280"
https://www.espn.com/nba/player/_/id/3012/kyle-lowry,Kyle Lowry7,kylelowry,MiamiHeat,PG,35,"6' 0""",196 lbs,Villanova,"$26,894,128"
https://www.espn.com/nba/player/_/id/3138160/caleb-martin,Caleb Martin16,calebmartin,MiamiHeat,SF,26,"6' 5""",205 lbs,Nevada,"$1,782,621"
https://www.espn.com/nba/player/_/id/6461/markieff-morris,Markieff Morris8,markieffmorris,MiamiHeat,PF,32,"6' 9""",245 lbs,Kansas,"$1,669,178"
https://www.espn.com/nba/player/_/id/4278521/kz-okpala,KZ Okpala11,kzokpala,MiamiHeat,SF,22,"6' 8""",215 lbs,Stanford,"$1,782,621"
https://www.espn.com/nba/player/_/id/2527963/victor-oladipo,Victor Oladipo4,victoroladipo,MiamiHeat,SG,29,"6' 4""",213 lbs,Indiana,"$1,669,178"
https://www.espn.com/nba/player/_/id/3157465/duncan-robinson,Duncan Robinson55,duncanrobinson,MiamiHeat,SG,27,"6' 7""",215 lbs,Michigan,"$15,650,000"
https://www.espn.com/nba/player/_/id/4065778/max-strus,Max Strus31,maxstrus,MiamiHeat,SG,25,"6' 5""",215 lbs,DePaul,"$1,669,178"
https://www.espn.com/nba/player/_/id/3033/pj-tucker,P.J. Tucker17,pjtucker,MiamiHeat,PF,36,"6' 5""",245 lbs,Texas,"$7,000,000"
https://www.espn.com/nba/player/_/id/3137259/gabe-vincent,Gabe Vincent2,gabevincent,MiamiHeat,PG,25,"6' 3""",200 lbs,UC Santa Barbara,"$1,669,178"
https://www.espn.com/nba/player/_/id/3074213/omer-yurtseven,Omer Yurtseven77,omeryurtseven,MiamiHeat,C,23,"6' 11""",275 lbs,Georgetown,"$1,489,065"
https://www.espn.com/nba/player/_/id/4432809/cole-anthony,Cole Anthony50,coleanthony,OrlandoMagic,PG,21,"6' 3""",185 lbs,North Carolina,"$3,449,400"
https://www.espn.com/nba/player/_/id/4277919/mo-bamba,Mo Bamba5,mobamba,OrlandoMagic,C,23,"7' 0""",231 lbs,Texas,"$7,568,743"
https://www.espn.com/nba/player/_/id/4397205/ignas-brazdeikis,Ignas Brazdeikis17,ignasbrazdeikis,OrlandoMagic,SF,22,"6' 6""",221 lbs,Michigan,--
https://www.espn.com/nba/player/_/id/4277847/wendell-carter-jr,Wendell Carter Jr.34,wendellcarterjr,OrlandoMagic,C,22,"6' 10""",270 lbs,Duke,"$6,920,027"
https://www.espn.com/nba/player/_/id/2596108/michael-carter-williams,Michael Carter-Williams7,michaelcarterwilliams,OrlandoMagic,PG,30,"6' 5""",190 lbs,Syracuse,"$3,300,000"
https://www.espn.com/nba/player/_/id/4066636/markelle-fultz,Markelle Fultz20,markellefultz,OrlandoMagic,PG,23,"6' 4""",209 lbs,Washington,"$16,500,000"
https://www.espn.com/nba/player/_/id/4590530/rj-hampton,R.J. Hampton13,rjhampton,OrlandoMagic,PG,20,"6' 4""",175 lbs,--,"$2,303,040"
https://www.espn.com/nba/player/_/id/2999547/gary-harris,Gary Harris14,garyharris,OrlandoMagic,SG,27,"6' 4""",210 lbs,Michigan State,"$20,482,143"
https://www.espn.com/nba/player/_/id/4065654/jonathan-isaac,Jonathan Isaac1,jonathanisaac,OrlandoMagic,PF,24,"6' 10""",230 lbs,Florida State,"$17,400,000"
https://www.espn.com/nba/player/_/id/3447/robin-lopez,Robin Lopez33,robinlopez,OrlandoMagic,C,33,"7' 0""",281 lbs,Stanford,"$5,000,000"
https://www.espn.com/nba/player/_/id/6460/etwaun-moore,E'Twaun Moore55,etwaunmoore,OrlandoMagic,G,32,"6' 3""",191 lbs,Purdue,"$1,669,178"
https://www.espn.com/nba/player/_/id/3936298/mychal-mulder,Mychal Mulder15,mychalmulder,OrlandoMagic,G,27,"6' 3""",184 lbs,Kentucky,"$1,782,621"
https://www.espn.com/nba/player/_/id/4278052/chuma-okeke,Chuma Okeke3,chumaokeke,OrlandoMagic,PF,23,"6' 6""",229 lbs,Auburn,"$3,277,080"
https://www.espn.com/nba/player/_/id/6619/terrence-ross,Terrence Ross31,terrenceross,OrlandoMagic,SG,30,"6' 6""",206 lbs,Washington,"$12,500,000"
https://www.espn.com/nba/player/_/id/4432165/jalen-suggs,Jalen Suggs4,jalensuggs,OrlandoMagic,SG,20,"6' 5""",205 lbs,Gonzaga,"$6,593,040"
https://www.espn.com/nba/player/_/id/4066378/jon-teske,Jon Teske15,jonteske,OrlandoMagic,C,24,"7' 1""",265 lbs,Michigan,--
https://www.espn.com/nba/player/_/id/3064539/sindarius-thornwell,Sindarius Thornwell15,sindariusthornwell,OrlandoMagic,SG,26,"6' 4""",215 lbs,South Carolina,--
https://www.espn.com/nba/player/_/id/4566434/franz-wagner,Franz Wagner22,franzwagner,OrlandoMagic,SF,20,"6' 10""",220 lbs,Michigan,"$5,007,840"
https://www.espn.com/nba/player/_/id/3150844/moritz-wagner,Moritz Wagner21,moritzwagner,OrlandoMagic,C,24,"6' 11""",245 lbs,Michigan,"$1,729,217"
https://www.espn.com/nba/player/_/id/4683021/deni-avdija,Deni Avdija9,deniavdija,WashingtonWizards,SF,20,"6' 9""",210 lbs,--,"$4,692,840"
https://www.espn.com/nba/player/_/id/4280150/joel-ayayi,Joel Ayayi17,joelayayi,WashingtonWizards,G,21,"6' 4""",180 lbs,Gonzaga,--
https://www.espn.com/nba/player/_/id/6580/bradley-beal,Bradley Beal3,bradleybeal,WashingtonWizards,SG,28,"6' 4""",207 lbs,Florida,"$33,724,200"
https://www.espn.com/nba/player/_/id/6426/davis-bertans,Davis Bertans42,davisbertans,WashingtonWizards,SF,29,"6' 10""",225 lbs,--,"$16,000,000"
https://www.espn.com/nba/player/_/id/3934723/thomas-bryant,Thomas Bryant13,thomasbryant,WashingtonWizards,C,24,"6' 10""",248 lbs,Indiana,"$8,666,667"
https://www.espn.com/nba/player/_/id/2581018/kentavious-caldwell-pope,Kentavious Caldwell-Pope1,kentaviouscaldwellpope,WashingtonWizards,SG,28,"6' 5""",204 lbs,Georgia,"$13,038,862"
https://www.espn.com/nba/player/_/id/2580782/spencer-dinwiddie,Spencer Dinwiddie26,spencerdinwiddie,WashingtonWizards,PG,28,"6' 6""",215 lbs,Colorado,"$17,142,857"
https://www.espn.com/nba/player/_/id/4278049/daniel-gafford,Daniel Gafford21,danielgafford,WashingtonWizards,C,23,"6' 9""",234 lbs,Arkansas,"$1,782,621"
https://www.espn.com/nba/player/_/id/2581184/anthony-gill,Anthony Gill16,anthonygill,WashingtonWizards,PF,29,"6' 7""",230 lbs,Virginia,"$1,517,981"
https://www.espn.com/nba/player/_/id/4066648/rui-hachimura,Rui Hachimura8,ruihachimura,WashingtonWizards,PF,23,"6' 8""",230 lbs,Gonzaga,"$4,916,160"
https://www.espn.com/nba/player/_/id/2991055/montrezl-harrell,Montrezl Harrell6,montrezlharrell,WashingtonWizards,C,27,"6' 7""",240 lbs,Louisville,"$9,720,900"
